id,title,published,detail,keywords
27E2FE8AF69D1C3F61373E686DCF3405,Ingeniero Civil,Hace 14 horas,"Ingeniero Civil San Martin de Porres SaniCenter SAC 3,9 San Martin De Porres, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato Ocasional Por horas En SaniCenter nos encontramos en la búsqueda de un INGENIERO CIVIL con experiencia en REMODELACIONES.REQUISITOS:• Ingenieros civiles con especialización en ejecución de proyectos para remodelación• Colegiados y habilitados.• Con experiencia comprobada en las diferentes áreas de ingeniería civil.FUNCIONES:• Experiencia en gestión de proyectos inmobiliarios y diseño.• Seguimiento y control a los proyectos.• Gestión de licencias de obra.• Gestión de selección de proveedores.• Seguimiento de trámites con empresas prestadoras de servicios públicos.• Gestión documentaria del proyecto.SUELDO A TRATAR Requerimientos Educación mínima: Universitario3 años de experienciaDisponibilidad de viajar: NoDisponibilidad de cambio de residencia: No Hace 14 horas (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de SaniCenter SAC + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de SaniCenter SAC Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio Sanicenter, prestigiosa empresa del rubro de importación y comercialización de cerámicos, porcelanatos, sanitarios, griterías entre otros productos para acabados de construcción; cuenta con más de 20 años de experiencia en el mercado nacional. Actualmente estamos entre los líderes del mercado y es la que mayor crecimiento ha experimentado en los últimos 3 años consecutivos, encontrándonos en un proceso de expansión con diversas tiendas a nivel nacional. Beneficios de SaniCenter SAC Seguros, salud y bienestar Seguro de vida Seguro de salud Financieros y Jubilación Planes de pensiones Familia y paternidad Permisos de maternidad y paternidad Vacaciones y tiempo libre Vacaciones pagadas Permiso por fallecimiento de familiar Baja retribuida por enfermedad Ventajas y descuentos Descuentos para empleados Soporte profesional Planes de formación Formación externa Evaluación general 3,94 459 Evaluaciones 5 34% 4 40% 3 21% 2 3% 1 2% 3,83 Ambiente de trabajo 3,68 Salario y prestaciones 3,44 Oportunidades de carrera 3,67 Director general 93% profesionales recomiendan trabajar aquí Gerente de tienda Actual empleado Ucayali Enero, 2023 Excelente Recomienda trabajar aquí Vendedor comisionista Actual empleado Lima Enero, 2023 Excelente empresa en acabados finales Lo mejor Gran competidor en el país en acabados finales. Recomienda trabajar aquí Ventas retail Antiguo empleado Junin Mayo, 2022 Es una empresa q brinda muchos beneficios, lo cual permite el entusiasmo de trabajar Lo mejor Demostrar el talento que tenemos A mejorar Podria ser mas flexible con los horarios Recomienda trabajar aquí Mostrar las 459 evaluaciones Salarios Auxiliar de almacén Media salarial S/. 974 /mes 174 salarios 74 salarios 100 salarios Media salarial S/. 900 S/. 980 Vendedor comisionista Media salarial S/. 930 /mes 68 salarios 68 salarios 68 salarios Media salarial S/. 930 S/. 930 Vendedor retail Media salarial S/. 930 /mes 38 salarios 38 salarios 38 salarios Media salarial S/. 930 S/. 930 Cajera Media salarial S/. 970 /mes 23 salarios 2 salarios 21 salarios Media salarial S/. 850 S/. 1.025 Mostrar los 35 salarios",
6D58D0B0FD8AC9B461373E686DCF3405,ingeniero civil,Ayer,"ingeniero civil colegiado, titulado, activo MAKYL ECS E.I.R.L. San Luis, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato de Temporada Tiempo completo ingeniero civil titulado, colegiado y activo con experiencia en diseño y cálculo estructural, con más de 3 años de experiencia, de preferencia que viva en lima o cusco de maneje software Requerimientos Educación mínima: Maestría3 años de experienciaLicencias de conducir: A-I Disponibilidad de viajar: SiDisponibilidad de cambio de residencia: No Ayer (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de MAKYL ECS E.I.R.L. + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de MAKYL ECS E.I.R.L. Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio Somos un equipo interdisciplinario que brinda soluciones innovadoras de ingeniería a todos los sectores económicos, promoviendo el desarrollo integral de sus colaboradores.",for_graduates
F8B978E0541EBF6A61373E686DCF3405,Jefe de Ingeniería,Hace 2 días,"Jefe de Ingeniería ingeniero civil /Mecánico MACADAM PERU SAC Lima, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato por Inicio o Incremento de Actividad Tiempo completo Macada Peru, una empresa dedicada al sector construcción se encuentra en la búsqueda de un Jefe de Ingeniería bajo el siguiente perfil.Deseable experiencia en contratos EPC de proyectos de construcciónExperiencia en el desarrollo de ingeniería para proyectos de: Naves industriales, patios de maniobras, plantas de procesos, edificios industriales, edificios administrativos.Amplia red de contactos para el desarrollo de ingeniería para las siguientes especialidades: arquitectura, civiles, electromecánicas, mecánicas, eléctricos, sistemas contraincendios y de detección, CCTV, HVAC.Experto en la elaboración de memorias descriptivas, memorias de cálculo y desarrollo de expedientes técnicos.Experto en el manejo de software de diseño (cálculo y modelamiento) para estructuras.Capacitaciones en legislaciones y normativas de construcción nacionalRequisitos:Titulado y colegiado: Ing. Civil o Ing. Mecánico o afín.3 años de experiencias en el cargo7 años de experiencia en el área de ingenieríaCondicionesEn planilla desde el 01 día de trabajo Lugar de Trabajo - Miraflores Beneficio sociales Requerimientos Educación mínima: Universitario7 años de experienciaEdad: entre 30 y 50 añosConocimientos: Microsoft ExcelLicencias de conducir: A-II-B Disponibilidad de viajar: SiDisponibilidad de cambio de residencia: No Hace 2 días (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de MACADAM PERU SAC + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de MACADAM PERU SAC Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio Macadam Perú S.A.C., empresa dedicada al desarrollo de Ingeniería, Procura, Construcción (movimiento de tierras, obras civiles, estructuras metálicas y especialidades complementarias), Mantenimiento, Supervisión y Control de Calidad para el desarrollo y ejecución de proyectos de infraestructura.",
D1FC9ED841D02C0261373E686DCF3405,Ingeniero Civil /Cercado de Lima,Hace 3 días,"Ingeniero Civil /Cercado de Lima Urgente Importante empresa del sector Lima, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato por Inicio o Incremento de Actividad Tiempo completo Importante clínica se encuentra en búsqueda de un INGENIERO CIVIL PERFIL: • Orientado a ingenieros civiles con especialización en ejecución de proyectos para remodelación • Colegiados y habilitados.• Con experiencia comprobada en las diferentes áreas de ingeniería civil • Para ejercer como residente de obra civil, remodelaciones de concreto, acero quincha y madera para proyecto. FUNCIONES:• Evaluar, asesorar, diseñar, modelar, calcular diversos tipos de sistema estructural • Coordinar con arquitecto y proveedores para realizar la remodelación. • Supervisión del proyecto a realizar. • Realizar cálculo de material • Elaborar planos y memorias estructurales • Manejo de personal REQUISITOS: • Experiencia mínima 2 años • Experiencia en remodelación edificaciones de quincha. • Conocimiento en software para calculo. • Conocimiento AutoCAD 2d BENEFICIOS: • Ingreso a planilla• Beneficios de ley• Horarios fijosHORARIO: Lunes a Viernes de 8:00 am a 5:00pm y Sábados de 8:00 a 1:00pmSUELDO A TRATAR Requerimientos Educación mínima: Universitario2 años de experienciaEdad: entre 25 y 45 añosDisponibilidad de viajar: NoDisponibilidad de cambio de residencia: No Hace 3 días (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares",
ED1EE916BAED3D0E61373E686DCF3405,ingeniero civil estructural,Hace 3 días,"ingeniero civil estructural experiencia mínima 2 años Auri Technik Lima, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato de Temporada Tiempo completo Presencial y remoto Empresa importante dedicada al rubo de ingeniería y construcción se encuentra en la búsqueda de ingeniero civil estructural especializado y/o con experiencia en estructuras metálicas.Requisitos y funciones:- Ingeniero civil titulado.- Experiencia mínima de 2 años.- Sólidos conocimientos en SOLIDWORKS.- Sólidos conocimientos en SAP 2000.- Sólidos conocimientos en ETABS. Requerimientos Educación mínima: Universitario2 años de experienciaEdad: A partir de 25 añosConocimientos: Microsoft OfficeDisponibilidad de viajar: NoDisponibilidad de cambio de residencia: No Hace 3 días (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de Auri Technik + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de Auri Technik Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio Grupo de 4 Empresas - Ingeniería y Construcción: Estructuras Metálicas, Construcción de Edificios Prefabricados, Obras Civiles- Especialidades de Ingeniería: HVAC. CCTV, Electricidad, Domótica, Mobiliario, Extinción, SSGG, etc.- Soluciones IT: Soluciones Web, Marketing Digital, Recursos Cloud- Distribución para Integradores: HVAC, Seguridad Electrónica, Saneamiento Ambiental, etc. Beneficios de Auri Technik Seguros, salud y bienestar Seguro de vida Seguro de invalidez Financieros y Jubilación Bonificación por desempeño Familia y paternidad Home Office Ventajas y descuentos Vehículo de empresa Soporte profesional Formación externa",for_graduates
A28330DAE805EF2861373E686DCF3405,ingeniero civil asistente en edificacioness,Hace 3 días,"ingeniero civil asistente en edificacioness Titulado y Colegiado para Lima TYT Arquitectos S.A.C San Isidro, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato por Obra Determinada o Servicio Específico Tiempo completo Ing. Civil, hábil para el ejercicio profesional, con una experiencia acumulada mínima de dos (2) años como Residente, Supervisor o Inspector de Obras de edificaciones en general. Esta experiencia sera contabilizada a partir de su colegiatura.Se considera obra similar a : Construcción y/o Reconstrucción y/o Creación e implementacion y/o Construcción y equipamiento, o la combinación de estas, de obras de Edificaciones como Hospitales y/o Institutos de Salud y/o puestos de Salud y/o Centros Médicos y/o Policlinicos y/o Clínicas y/o Centro de Salud y/o Edificaciones que cuenten con sótano;en el sector publico o Privado Requerimientos Educación mínima: Universitario2 años de experienciaIdiomas: Inglés Conocimientos: LibreOfficeDisponibilidad de viajar: NoDisponibilidad de cambio de residencia: No Hace 3 días (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de TYT Arquitectos S.A.C + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de TYT Arquitectos S.A.C Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio Empresa de mas de 20 Años de experiencia en el rubro de Construcción e Ingeniería que trabaja con empresas privadas y publicas. Su meta a corto plazo es ser una empresa prestigiosa en el rubro de construcción y expandirse en el mercado local. Contamos con un equipo profesional altamente calificado, tanto en los campos técnicos, ejecutivos, administrativo, contable como operario ; teniendo como objeto principal el brindar el mejor servicio dentro de los mejores estándares.Nuest... Empresa de mas de 20 Años de experiencia en el rubro de Construcción e Ingeniería que trabaja con empresas privadas y publicas. Su meta a corto plazo es ser una empresa prestigiosa en el rubro de construcción y expandirse en el mercado local. Contamos con un equipo profesional altamente calificado, tanto en los campos técnicos, ejecutivos, administrativo, contable como operario ; teniendo como objeto principal el brindar el mejor servicio dentro de los mejores estándares.Nuestra empresa mantiene óptimas relaciones de trabajo con firmas especializadas en cada campo de la ingeniería; lo que asegura una solución eficaz de cualquier necesidad de un proyecto, lo cual garantiza el cumplimiento exitoso de nuestra labor.Página Web: http://tytarquitectos.com/ . Ver más sobre la empresa Beneficios de TYT Arquitectos S.A.C Seguros, salud y bienestar Seguro de salud Financieros y Jubilación Planes de pensiones Bonificación por desempeño Familia y paternidad Permisos de maternidad y paternidad Vacaciones y tiempo libre Vacaciones pagadas Permiso por fallecimiento de familiar Ventajas y descuentos Desayuno o snacks gratuitos Soporte profesional Planes de formación",
88FB1E04B4E6D7F161373E686DCF3405,ingeniero civil,Hace 5 días,"ingeniero civil Experiencia en proyectos de ingeniería Concremat Miraflores, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato por Obra Determinada o Servicio Específico Tiempo completo CONCREMAT empresa líder en el ranking de mayores compañías de ingeniería consultiva, requiere:- Ingeniero(s) Civil(es) colegiado(s), mínimo con 36 meses desde la colegiatura.- Experiencia en obras de transitabilidad vial y peatonal; o de infraestructura vial; o de saneamiento. - Experiencia como ""Jefe de Supervisión""; y/o ""Gerente de Proyectos""; y/o ""Especialistas en Suelos y Pavimentos""; y/o ""Especialistas en Seguridad Vial y Salud en el Trabajo""; y/o ""Especialistas en Costos y Valorizaciones""; y/o ""Especialistas en Topografía, Trazo y Replanteo""; y/o ""Asistente de Supervisión"".- Alto nivel de desempeño, trabajo en equipo y liderazgo. Requerimientos Educación mínima: UniversitarioEdad: entre 25 y 50 añosDisponibilidad de viajar: SiDisponibilidad de cambio de residencia: No Hace 5 días (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de Concremat + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de Concremat Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio CONCREMAT ENGENHARIA E TECNOLOGIA SA ocupa el primer lugar en el ranking de las mayores compañías de ingeniería consultiva de Brasil. Con 65 años de experiencia en dicho mercado, la organización creció, se diversificó y hoy reúne los siguientes negocios: Concremat Engenharia, Concremat Ambiental y Concremat Inspeções & Laboratórios. Nuestro objetivo es ofrecer soluciones integradas de ingeniería y gestión a los clientes, a las empresas y a la sociedad, dejando siempre la mejor contribución para ... CONCREMAT ENGENHARIA E TECNOLOGIA SA ocupa el primer lugar en el ranking de las mayores compañías de ingeniería consultiva de Brasil. Con 65 años de experiencia en dicho mercado, la organización creció, se diversificó y hoy reúne los siguientes negocios: Concremat Engenharia, Concremat Ambiental y Concremat Inspeções & Laboratórios. Nuestro objetivo es ofrecer soluciones integradas de ingeniería y gestión a los clientes, a las empresas y a la sociedad, dejando siempre la mejor contribución para el desarrollo sustentable del país.La empresa tienen su sede en Río de Janeiro y cuenta con sucursales estratégicamente ubicadas por toda Latinoamérica. Ver más sobre la empresa",
ADFD41500137EDCB61373E686DCF3405,Egresado Ingeniero Civil,Hace 5 días,"Egresado Ingeniero Civil Arequipa Importante empresa del sector Yanahuara, Arequipa Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo S/. 1.500,00 (Mensual) Contrato por Inicio o Incremento de Actividad Tiempo completo REQUISITOS- Egresado de la carrera de Ingenieria Civil- Experiencia mínima de 06 meses como asistente de campo.- Deseable experiencia en obras civiles, movimiento de tierras, pistas y veredas, redes de saneamiento y/o redes eléctricas.- Conocimiento en AUTOCAD, S10 o Power Cost, Project y Excel Avanzado..FUNCIONES:1. Asistir en la actividades al ingeniero de campo y/u oficina tecnica.2. Seguimiento y monitoreo de los trabajos de campo.3. Control y registro de los rendimientos de trabajo realizados directamente o por parte de las contratistas.4. Apoyo en la elaboración de Informes, cuadros de control, valorizaciones, programación y demás que le sean indicados por el Ingeniero de Campo y/u oficina tecnica.5. Ejecutar expedientes tecnicos de acuerdo a la planificaciòn de oficina tecnica.BENEFICIOS- Remuneración 1500.00 en planilla. Requerimientos Educación mínima: UniversitarioMenos de 1 año de experienciaConocimientos: Microsoft Excel, AutoCAD, Microsoft ProjectLicencias de conducir: A-I Disponibilidad de viajar: NoDisponibilidad de cambio de residencia: No Hace 5 días (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares",
3388FBF862E0546961373E686DCF3405,Ingeniero Residente Civil,Hace 5 días,"Ingeniero Residente Civil Requisitos Título Profesional de Ingeniero B&H Cardenas S.A.C Tiabaya, Arequipa Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato por Obra Determinada o Servicio Específico Tiempo completo Experiencia mínima acreditada de cinco (05) años Residente y/o Jefe de Proyectos y Construcción, 1. Ejecución de obras de movimiento de tierras. 2. Conocimiento de costos y Presupuestos, metrados de obras civiles. 3. Conocimiento en Instalaciones de geosintéticos y tuberías HDPE y construcción de PADs lixiviación y presas de relaves. 4. Experiencia en el manejo de Concreto Armado 5. Seguimiento de Valorizaciones. 6. Manejo de Herramientas de Control. 7. Manejo de grupo laboral a cargo. Llevar la programación de ejecución de la Obra en todo momento. 8. Aplicar los criterios de la ingeniería para la buena ejecución del cierre de Obra. 9. Elaborar informes semanales de avance de obra. Curva S.10. Manejo de Herramientas S10, Ofice, Project, Autocad. Requerimientos Educación mínima: Universitario5 años de experienciaLicencias de conducir: A-I Disponibilidad de viajar: NoDisponibilidad de cambio de residencia: No Hace 5 días (actualizada) Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de B&H Cardenas S.A.C + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de B&H Cardenas S.A.C Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio Empresa de soluciones integrales para los rubros de minería, construcción e industria, dedicada a la prestación de servicios en metalmecánica, mantenimiento, construcción, instalaciones eléctricas en general, alquiler de maquinaria y equipos para construcción, consultoría en recursos humanos y logística. Mantenemos una política de calidad basada en la mejora continua y el valor agregado.",
ED895E16CCD826FF61373E686DCF3405,"Ingeniero civil, industrial y mecánico",Hace 7 días,"Ingeniero civil, industrial y mecánico A nivel nacional Ancro S.R.L. 3,4 Lima, Lima Postularme Whatsapp Facebook Twitter Copiar enlace Recibir ofertas similares Imprimir Denunciar empleo Contrato por Necesidades del Mercado Tiempo completo Nos encontramos en la búsqueda de INGENIEROS de la especialidad CIVIL, INDUSTRIAL, MECÁNICARequisitos:• Profesionales de la carrera de Ingeniería Civil, Industrial y Mecánica.• Contar como mínimo con 3 años de Titulado y Colegiado Habilitado.• Elaboración de Propuestas Técnicas y Económicas.• Manejo de Software de la Especialidad.Experiencia· 3 años en la elaboración expedientes técnicos y/o estudios.· Tres (03) de experiencia como especialista/ingeniero/proyectista. Requerimientos Educación mínima: Universitario3 años de experienciaIdiomas: Inglés Edad: A partir de 30 añosConocimientos: Microsoft Excel, AutoCADLicencias de conducir: A-I Disponibilidad de viajar: NoDisponibilidad de cambio de residencia: No Hace 7 días Postularme Imprimir Denunciar empleo Recibir ofertas similares Acerca de Ancro S.R.L. + Seguir Volver a enviar Dejar de seguir ¡No te pierdas ninguna oportunidad! Recibe notificaciones nuevas de Ancro S.R.L. Formato incorrecto Contraseña incorrecta He leído y acepto aviso legal y la política de privacidad Obligatorio Agencia integral de Teléfonica con derechos de comercialización de telefonía residencial, telefonía de uso público, cable, speedy, móviles. Contamos con red de locales propios con estructuras y equipos de venta independientes. Evaluación general 3,40 501 Evaluaciones 5 20% 4 28% 3 35% 2 10% 1 7% 3,51 Ambiente de trabajo 3,19 Salario y prestaciones 2,82 Oportunidades de carrera 3,11 Director general 73% profesionales recomiendan trabajar aquí Asistente comercial Antiguo empleado Lima Octubre, 2022 es una gran empresa de gestion de residuos Recomienda trabajar aquí Asistente mantenimiento Antiguo empleado Lima Octubre, 2022 es una buena empresa trabaje con ancro eventos con los baños portátiles Vendedora Actual empleado Lima Octubre, 2022 Ambiente hostil lleno de amedrentamientos, falta de pagos. Te pagan por lo bajo y te amenazan con despedirte. Los abogados te amenazan con que no podrás denunciar por qué son grandes. Roban a clientes como Komatsu y 3M y Lindley, disponen en la calle Lo mejor Nadie puede hacer nada porque Alberto Santiago los amenaza con despedir A mejorar Sacar A Alberto Santiago y Elmer Yupa y Liliana Huaringa No recomienda trabajar aquí Mostrar las 501 evaluaciones Salarios Supervisor ssoma Media salarial S/. 2.900 /mes 6 salarios 3 salarios 3 salarios Media salarial S/. 2.000 S/. 4.000 Mostrar los 9 salarios",
